text,label
"Disponibilidad y costos para diciembre?",ALTA
"Precio habitación con cama extra?",ALTA
"Quisiera reservar para retiro empresarial",ALTA
"Cuánto cuesta quedarse un mes?",ALTA
"Tienen disponibilidad para boda?",ALTA
"Necesito info de reservas anticipadas",ALTA
"Hay espacio para convención?",ALTA
"Precio de habitación conectada?",ALTA
"Cuánto sale reservar toda el ala?",ALTA
"Disponibilidad habitación accesible?",ALTA
"Info de tarifas preferenciales",ALTA
"Quisiera cotizar estadía ejecutiva",ALTA
"Tienen cupo para retiro espiritual?",ALTA
"Cuánto cuesta reservar varias habitaciones?",ALTA
"Precio para grupo empresarial?",ALTA
"Necesito reservar urgentemente suite",ALTA
"Hay disponibilidad para graduación?",ALTA
"Cuánto me sale habitación con todo incluido?",ALTA
"Info de paquetes con desayuno incluido",ALTA
"Disponibilidad para celebración?",ALTA
"Precio especial para reserva anticipada?",ALTA
"Quisiera saber tarifa con descuento",ALTA
"Tienen cupo para aniversario de bodas?",ALTA
"Cuánto cuesta habitación en temporada baja?",ALTA
"Necesito reservar para viaje de negocios",ALTA
"Hay espacio para delegación?",ALTA
"Precio habitación con servicio de habitación?",ALTA
"Disponibilidad para fines de semana largos?",ALTA
"Info de tarifas por temporada",ALTA
"Cuánto sale reservar habitación VIP?",ALTA
"Quisiera hacer reserva para escapada romántica",ALTA
"Tienen disponibilidad para reunión?",ALTA
"Precio para alojamiento prolongado?",ALTA
"Necesito cotizar habitaciones múltiples",ALTA
"Hay cupo para team building?",ALTA
"Cuánto cuesta habitación con minibar?",ALTA
"Disponibilidad inmediata para hoy?",ALTA
"Info de reservas last minute",ALTA
"Precio habitación suite nupcial?",ALTA
"Quisiera saber costo total de estadía",ALTA
"Tienen espacio para workshop?",ALTA
"Cuánto me sale reserva flexible?",ALTA
"Necesito info de precios actualizados",ALTA
"Hay disponibilidad para el verano?",ALTA
"Precio con opción a cancelación?",ALTA
"Tienen piscina?",MEDIA
"Qué incluye el desayuno?",MEDIA
"Tienen wifi gratis?",MEDIA
"Hay estacionamiento?",MEDIA
"El hotel tiene gimnasio?",MEDIA
"Aceptan mascotas?",MEDIA
"Tienen servicio de lavandería?",MEDIA
"Hay room service?",MEDIA
"El hotel tiene aire acondicionado?",MEDIA
"Ofrecen transporte al aeropuerto?",MEDIA
"Tienen spa?",MEDIA
"Hay cajero automático cerca?",MEDIA
"El hotel es pet friendly?",MEDIA
"Tienen restaurante en el hotel?",MEDIA
"Hay servicio de niñera?",MEDIA
"Ofrecen tours?",MEDIA
"El hotel tiene bar?",MEDIA
"Hay jacuzzi?",MEDIA
"Tienen servicio de conserjería?",MEDIA
"El desayuno está incluido?",MEDIA
"Hay zona de juegos para niños?",MEDIA
"Ofrecen masajes?",MEDIA
"Tienen servicio de planchado?",MEDIA
"El hotel tiene terraza?",MEDIA
"Hay ascensor?",MEDIA
"Ofrecen cajas de seguridad?",MEDIA
"Tienen bicicletas de alquiler?",MEDIA
"El hotel tiene jardín?",MEDIA
"Hay servicio médico?",MEDIA
"Ofrecen desayuno buffet?",MEDIA
"Tienen salón de eventos?",MEDIA
"Hay servicio de despertador?",MEDIA
"El hotel tiene biblioteca?",MEDIA
"Ofrecen alquiler de autos?",MEDIA
"Tienen servicio de tintorería?",MEDIA
"Hay zona wifi en áreas comunes?",MEDIA
"El hotel tiene cochera techada?",MEDIA
"Ofrecen cambio de moneda?",MEDIA
"Tienen servicio de botones?",MEDIA
"Hay área de fumadores?",MEDIA
"El desayuno es continental o americano?",MEDIA
"Ofrecen almuerzo y cena?",MEDIA
"Tienen sala de conferencias?",MEDIA
"Hay servicio de valet parking?",MEDIA
"El hotel tiene vista al mar?",MEDIA
"Ofrecen snacks en la habitación?",MEDIA
"Tienen servicio 24 horas?",MEDIA
"Hay minibar en las habitaciones?",MEDIA
"El hotel tiene caja fuerte?",MEDIA
"Ofrecen servicio de limpieza diario?",MEDIA
"Tienen servicio de portería?",MEDIA
"Hay zona de BBQ?",MEDIA
"El hotel tiene balcón en las habitaciones?",MEDIA
"Ofrecen servicio de taxi?",MEDIA
"Tienen zona de coworking?",MEDIA
"Hay servicio de té y café?",MEDIA
"El hotel tiene recepción 24h?",MEDIA
"Ofrecen late check out?",MEDIA
"Tienen servicio de mensajería?",MEDIA
"Hay zona de estar?",MEDIA
"El hotel tiene calefacción?",MEDIA
"Ofrecen tours guiados?",MEDIA
"Tienen piscina climatizada?",MEDIA
"Hay servicio de fax?",MEDIA
"El hotel tiene acceso para sillas de ruedas?",MEDIA
"Ofrecen desayuno vegetariano?",MEDIA
"Tienen piscina para niños?",MEDIA
"Hay servicio de impresión?",MEDIA
"El hotel tiene ventilador de techo?",MEDIA
"Ofrecen camas adicionales?",MEDIA
"Tienen servicio de desayuno en habitación?",MEDIA
"Hay zona de fumadores designada?",MEDIA
"El hotel tiene ducha o bañera?",MEDIA
"Ofrecen servicio de despertador automático?",MEDIA
"Tienen conexión a internet por cable?",MEDIA
"Hay servicio de guardaequipaje?",MEDIA
"El hotel tiene secador de pelo?",MEDIA
"Ofrecen kit de bienvenida?",MEDIA
"Tienen servicio express de lavandería?",MEDIA
"Hay zona de picnic?",MEDIA
"El hotel tiene TV por cable?",MEDIA
"Ofrecen menú para niños?",MEDIA
"Tienen servicio de limpieza express?",MEDIA
"Hay zona de lectura?",MEDIA
"El hotel tiene escritorio en la habitación?",MEDIA
"Ofrecen servicio de fotocopia?",MEDIA
"Tienen piscina infinity?",MEDIA
"Hay servicio de lustrado?",MEDIA
"El hotel tiene sistema de sonido?",MEDIA
"Ofrecen servicio de alquiler de equipos?",MEDIA
"Tienen zona de meditación?",MEDIA
"Hay servicio de arreglo floral?",MEDIA
"El hotel tiene bata y pantuflas?",MEDIA
"Ofrecen servicio de organización de eventos?",MEDIA
"Tienen zona de yoga?",MEDIA
"Hay servicio de personal trainer?",MEDIA
"El hotel tiene productos de tocador?",MEDIA
"Ofrecen servicio de decoración?",MEDIA
"Tienen sala de juegos?",MEDIA
"Hay servicio de entretenimiento nocturno?",MEDIA
"El hotel tiene Netflix?",MEDIA
"Ofrecen actividades recreativas?",MEDIA
"Tienen zona de parrilla?",MEDIA
"Hay servicio de música en vivo?",MEDIA
"El hotel tiene espejo de cuerpo completo?",MEDIA
"Ofrecen clases de cocina?",MEDIA
"Tienen zona infantil techada?",MEDIA
"Hay servicio de animación?",MEDIA
"El hotel tiene plancha en habitación?",MEDIA
"Ofrecen cena romántica?",MEDIA
"Tienen zona de hamacas?",MEDIA
"Hay servicio de catering?",MEDIA
"El hotel tiene toallas de playa?",MEDIA
"Ofrecen tours en bicicleta?",MEDIA
"Tienen zona de camastros?",MEDIA
"Hay servicio de fotografía?",MEDIA
"El hotel tiene sillas playeras?",MEDIA
"Ofrecen clases de baile?",MEDIA
"Tienen zona de sombrillas?",MEDIA
"Hay servicio de DJ?",MEDIA
"El hotel tiene amenities premium?",MEDIA
"Ofrecen paquetes románticos?",MEDIA
"Tienen zona de kayaks?",MEDIA
"Hay servicio de bartender privado?",MEDIA
"El hotel tiene paddle boards?",MEDIA
"Ofrecen excursiones?",MEDIA
"Tienen zona de snorkel?",MEDIA
"Hay servicio de chef privado?",MEDIA
"El hotel tiene equipos de buceo?",MEDIA
"Ofrecen clases de surf?",MEDIA
"Tienen zona de windsurf?",MEDIA
"Hay servicio de mayordomo?",MEDIA
"El hotel tiene trampolín?",MEDIA
"Ofrecen pesca deportiva?",MEDIA
"Tienen zona de voleyball?",MEDIA
"Hay servicio de instructor de buceo?",MEDIA
"El hotel tiene tobogán acuático?",MEDIA
"Ofrecen paseos en lancha?",MEDIA
"Tienen zona de fogata?",MEDIA
"Hermoso lugar!",BAJA
"Gracias por la información",BAJA
"Me encanta este hotel!",BAJA
"Qué bonito lugar!",BAJA
"Muy lindo!",BAJA
"Excelente servicio!",BAJA
"Bellísimo!",BAJA
"👍",BAJA
"❤️",BAJA
"Precioso hotel!",BAJA
"Felicitaciones por el lugar!",BAJA
"Qué maravilla!",BAJA
"Impresionante!",BAJA
"Wow!",BAJA
"Increíble vista!",BAJA
"Espectacular!",BAJA
"Me fascina!",BAJA
"Hermosas instalaciones!",BAJA
"Súper lindo!",BAJA
"Qué lugar tan bonito!",BAJA
"Gracias por atendernos!",BAJA
"Excelente atención!",BAJA
"Muy buena la experiencia!",BAJA
"Lo máximo!",BAJA
"Genial!",BAJA
"Fantástico lugar!",BAJA
"Divino!",BAJA
"Perfecto!",BAJA
"Maravilloso!",BAJA
"Top!",BAJA
"Brutal!",BAJA
"Bacán!",BAJA
"Chévere el lugar!",BAJA
"Jala!",BAJA
"Está de pelos!",BAJA
"Muy pro!",BAJA
"Crack el hotel!",BAJA
"Estuve ahí hace años, muy lindo",BAJA
"Algún día volveré!",BAJA
"Recuerdo cuando fui, hermoso",BAJA
"Qué nostalgia!",BAJA
"Buenos recuerdos de ese lugar",BAJA
"Ya quiero volver!",BAJA
"Extraño ese hotel!",BAJA
"Qué ganas de regresar!",BAJA
"Siempre lo recomiendo!",BAJA
"Lo mejor de Lima!",BAJA
"Mi lugar favorito!",BAJA
"Nunca decepciona!",BAJA
"Siempre impecable!",BAJA
"Como en casa!",BAJA
"El mejor hotel!",BAJA
"Incomparable!",BAJA
"Sin palabras!",BAJA
"😍",BAJA
"🔥",BAJA
"💯",BAJA
"🌟",BAJA
"✨",BAJA
"👏👏👏",BAJA
"🙌",BAJA
"💪",BAJA
"Feliz estadía tuvimos!",BAJA
"Pasamos muy bien!",BAJA
"Inolvidable experiencia!",BAJA
"Gracias por todo!",BAJA
"Agradecidos con la atención!",BAJA
"Muchas gracias!",BAJA
"Se lo agradezco!",BAJA
"Mil gracias!",BAJA
"Gracias por responder!",BAJA
"Ok gracias!",BAJA
"Entendido, gracias!",BAJA
"Perfecto, muchas gracias!",BAJA
"Vale, gracias!",BAJA
"Listo, gracias!",BAJA
"👌",BAJA
"Ok",BAJA
"Entendido",BAJA
"Perfecto",BAJA
"Vale",BAJA
"Listo",BAJA
"Claro",BAJA
"Bien",BAJA
"Genial, gracias!",BAJA
"Súper, gracias!",BAJA
"Excelente, gracias!",BAJA
"Horrible servicio",BAJA
"Pésimo lugar",BAJA
"No lo recomiendo",BAJA
"Muy mal",BAJA
"Decepcionante",BAJA
"Fatal",BAJA
"Terrible experiencia",BAJA
"Desastroso",BAJA
"Muy sucio",BAJA
"Mala atención",BAJA
"No vuelvo más",BAJA
"Pésima experiencia",BAJA
"Horrible",BAJA
"Malísimo",BAJA
"Caro y malo",BAJA
"No vale la pena",BAJA
"Estafa",BAJA
"Deplorable",BAJA
"Asqueroso",BAJA
"Inaceptable",BAJA
"Vergonzoso",BAJA
"Lamentable",BAJA
"Decepción total",BAJA
"Nunca más",BAJA
"Pésimo estado",BAJA
"Muy descuidado",BAJA
"No cumple lo prometido",BAJA
"Publicidad engañosa",BAJA
"👎",BAJA
"😡",BAJA
"😠",BAJA
"🤬",BAJA
"Qué fotos tan bonitas!",BAJA
"Hermosas fotografías!",BAJA
"Lindas imágenes!",BAJA
"Bellas fotos!",BAJA
"Increíbles las fotos!",BAJA
"Qué buena producción!",BAJA
"Excelentes tomas!",BAJA
"Me encantan las fotos!",BAJA
"Fotos espectaculares!",BAJA
"Qué buen contenido!",BAJA
"Sigan así!",BAJA
"Éxitos!",BAJA
"Mucho éxito!",BAJA
"Los mejores!",BAJA
"Saludos!",BAJA
"Bendiciones!",BAJA
"Felicidades por el hotel!",BAJA
"Enhorabuena!",BAJA
"Felicitaciones!",BAJA
"Qué bonito hotel, algún día iré",BAJA
"Me gustaría ir algún día",BAJA
"Espero visitarlos pronto",BAJA
"Ojalá pueda ir",BAJA
"En mis planes está conocerlos",BAJA
"Lo tendré en cuenta",BAJA
"Anotado para futura visita",BAJA
"Me lo apunto",BAJA
"Guardado para después",BAJA
"Lo consideraré",BAJA
"Interesante opción",BAJA
"A tener en cuenta",BAJA
"Buena alternativa",BAJA
"Me gusta la propuesta",BAJA
"Se ve bien",BAJA
"Pinta bien",BAJA
"Tiene buena pinta",BAJA
"Se ve prometedor",BAJA
"Luce bien",BAJA
"Parece buen lugar",BAJA
"Qué bueno que exista",BAJA
"Qué bien por ustedes",BAJA
"Me alegro",BAJA
"Qué bueno",BAJA
"Cuanto sale x noche?",ALTA
"Disponibilidad prfavor",ALTA
"Quiero reservaar una habitacion",ALTA
"Nesecito saber el precio",ALTA
"Ay cupo para mañana?",ALTA
"Precios de abitaciones?",ALTA
"Como ago para reservar?",ALTA
"Qiero cotizar",ALTA
"Info de tarifas xfa",ALTA
"Cuánto m sale 2 noches?",ALTA
"Tienen disponible p/ este finde?",ALTA
"Precio x favor",ALTA
"Nesesito reservar urgnt",ALTA
"Qiero hacer una reserva ya",ALTA
"Cuanto cuesta quedarse ahi?",ALTA
"Disponibilidad fin d semana?",ALTA
"Quiero saver el precio",ALTA
"Info para reserver",ALTA
"Cuanto cobran x dia?",ALTA
"Precios y disponivilidad",ALTA
"Nececito info de reservas",ALTA
"Hay espaico para 3?",ALTA
"Qiero cotizacion",ALTA
"Cuanto sale abitacion matrimonial?",ALTA
"Desponibilidad para julio?",ALTA
"Como puedo acer una reserva?",ALTA
"Precios actualisados?",ALTA
"Qiero saber tarifas",ALTA
"Ai habitaciones libres?",ALTA
"Precio abit doble x fav",ALTA
"Reserva para 2 personas cuanto es?",ALTA
"Disponible del 10 al 15?",ALTA
"Cuanto me saldria 5 dias?",ALTA
"Info reservas x whatsapp",ALTA
"Precios temporada baja?",ALTA
"Quiero cotizar para grupo",ALTA
"Hay disponibilidad inmediata?",ALTA
"Cuanto vale la noche ahi?",ALTA
"Necesito reservar p cumpleaños",ALTA
"Precio suite xfa",ALTA
"Disponibilidad para este mes pls",ALTA
"Cuanto cuesta con todo incluido?",ALTA
"Info de reserva anticipada",ALTA
"Hay cupo p 10 personas?",ALTA
"Cuanto sale habitacion vista mar?",ALTA
"Quisiera cotizacion para evento",ALTA
"Precio especial grupos?",ALTA
"Disponible sabado y domingo?",ALTA
"Cuanto es por semana?",ALTA
"Necesito reservar habitacion king",ALTA
"Info tarifas corporativas xfa",ALTA
"Cuanto cobran deposito?",ALTA
"Hay espacio para retiro?",ALTA
"Precio noche buena?",ALTA
"Quiero reservar suite nupcial",ALTA
"Disponibilidad temporada alta?",ALTA
"Cuanto sale con desayuno?",ALTA
"Info de precios actuales",ALTA
"Necesito cotizar 4 habitaciones",ALTA
"Hay disponibilidad feriado largo?",ALTA
"Precio por 15 dias?",ALTA
"Quiero info de reservas grupales",ALTA
"Cuanto cuesta habitacion deluxe?",ALTA
"Disponible para conferencia?",ALTA
"Precio fin de año?",ALTA
"Necesito reservar urgente xfa",ALTA
"Info tarifas mensuales",ALTA
"Cuanto es habitacion economica?",ALTA
"Hay cupo reunion familiar?",ALTA
"Precio paquete romantico?",ALTA
"Quiero reservar para aniversario",ALTA
"Disponibilidad marzo abril?",ALTA
"Cuanto sale habitacion triple?",ALTA
"Info reservas empresariales",ALTA
"Necesito cotizacion estadía larga",ALTA
"Precio habitaciones conectadas?",ALTA
"Hay espacio para workshop?",ALTA
"Cuanto cuesta reservar ahora?",ALTA
"Disponible proxima semana?",ALTA
"Quiero saber costos",ALTA
"Precio habitacion accesible?",ALTA
"Info de booking",ALTA
"Cuanto es con cancelacion flexible?",ALTA
"Disponibilidad verano?",ALTA
"Necesito reservar para boda",ALTA
"Precio check in temprano?",ALTA
"Hay cupo para graduacion?",ALTA
"Cuanto vale tarde?",ALTA
"Quiero reservar habitacion ejecutiva",ALTA
"Info precios navidad",ALTA
"Precio con late checkout?",ALTA
"Disponible para team building?",ALTA
"Cuanto cuesta habitacion premium?",ALTA
"Necesito info reserva inmediata",ALTA
"Precio para delegacion?",ALTA
"Hay espacio capacitacion?",ALTA
"Cuanto sale reservar todo el hotel?",ALTA
"Disponibilidad octubre noviembre?",ALTA
"Quiero cotizar paquete completo",ALTA
"Precio habitacion con jacuzzi?",ALTA
"Info reservas convenciones",ALTA
"Cuanto es por mes?",ALTA
"Necesito reservar para seminario",ALTA
"Precio habitacion ala este?",ALTA
"Hay disponibilidad evento corporativo?",ALTA
"Cuanto cuesta suite presidencial?",ALTA
"Quiero reservar para luna de miel",ALTA
"Info tarifas especiales",ALTA
"Precio habitacion penthouse?",ALTA
"Disponible para retiro espiritual?",ALTA
"Cuanto sale con servicio completo?",ALTA
"Necesito cotizar alojamiento prolongado",ALTA
"Precio reserva de ultima hora?",ALTA
"Hay cupo para congreso?",ALTA
"Cuanto es habitacion familiar grande?",ALTA
"Quiero info de descuentos",ALTA
"Precio temporada media?",ALTA
"Disponible para celebracion?",ALTA
"Cuanto cuesta upgradear habitacion?",ALTA
"Info de paquetes todo incluido",ALTA
"Necesito reservar habitacion doble ya",ALTA
"Precio check out tardio?",ALTA
"Hay espacio para simposio?",ALTA
"Cuanto vale con parking incluido?",ALTA
"Quiero reservar habitaciones adyacentes",ALTA
"Disponibilidad enero febrero?",ALTA
"Precio habitacion vista jardin?",ALTA
"Info reservas con anticipo",ALTA
"Cuanto es para grupo estudiantil?",ALTA
"Necesito cotizar tour + hospedaje",ALTA
"Precio habitacion balcon privado?",ALTA
"Hay cupo para convencion medica?",ALTA
"Cuanto sale reserva flexible?",ALTA
"Quiero info tarifas fin de semana",ALTA
"Precio con transfer incluido?",ALTA
"Disponible para lanzamiento producto?",ALTA
"Cuanto cuesta habitacion esquina?",ALTA
"Info de reservas VIP",ALTA
"Necesito cotizar para mision diplomatica",ALTA
"Precio suite junior?",ALTA
"Hay espacio para summit?",ALTA
"Cuanto vale reservar piso completo?",ALTA
"Quiero reservar con opcion cancelar",ALTA
"Disponibilidad dias feriados?",ALTA
"Precio habitacion vista panoramica?",ALTA
"Info reservas agencias viaje",ALTA
"Cuanto es para turistas?",ALTA
"Necesito cotizar paquete spa",ALTA
"Precio habitacion climatizada?",ALTA
"Hay cupo para masterclass?",ALTA
"Cuanto sale con media pension?",ALTA
"Quiero info tarifa rack",ALTA
"Precio best available rate?",ALTA
"Disponible para networking event?",ALTA
"Cuanto cuesta reserva garantizada?",ALTA
"Info de prepago",ALTA
"Necesito reservar con factura",ALTA
"Precio para grupo corporativo grande?",ALTA
"Tienen gimnacio?",MEDIA
"Ay estacionamiento?",MEDIA
"El otel tiene piscina?",MEDIA
"Aceptan mascotas?",MEDIA
"Tienen bifi gratis?",MEDIA
"Ay room servise?",MEDIA
"El hotel tiene spa?",MEDIA
"Ofrecen desalluno?",MEDIA
"Tienen bar?",MEDIA
"Ay aire acondicionado?",MEDIA
"El hotel tiene resturante?",MEDIA
"Ofrecen trasporte aeropuerto?",MEDIA
"Tienen labanderia?",MEDIA
"Ay ascensor?",MEDIA
"El hotel tiene teraza?",MEDIA
"Ofrecen masages?",MEDIA
"Tienen cajas de segurida?",MEDIA
"Ay zona de juegos niños?",MEDIA
"El desayuno esta incluido?",MEDIA
"Ofrecen tours?",MEDIA
"Tienen servicio de consergeria?",MEDIA
"Ay jacusi?",MEDIA
"El hotel es pet frendly?",MEDIA
"Ofrecen cambio de moneda?",MEDIA
"Tienen bicicletas?",MEDIA
"Ay servicio medico?",MEDIA
"El hotel tiene jardin?",MEDIA
"Ofrecen servicio de niñera?",MEDIA
"Tienen sala de conferensias?",MEDIA
"Ay minibar en habitaciones?",MEDIA
"El desayuno es bufet?",MEDIA
"Ofrecen late check out?",MEDIA
"Tienen servicio 24 oras?",MEDIA
"Ay wifi en todo el hotel?",MEDIA
"El hotel tiene vista al mar?",MEDIA
"Ofrecen planchado?",MEDIA
"Tienen cochera techada?",MEDIA
"Ay zona fumadores?",MEDIA
"El hotel tiene balcon?",MEDIA
"Ofrecen valet parking?",MEDIA
"Tienen recepcion 24h?",MEDIA
"Ay servicio de botones?",MEDIA
"El desayuno es continental?",MEDIA
"Ofrecen almuerzo y cena?",MEDIA
"Tienen zona coworking?",MEDIA
"Ay calefaccion?",MEDIA
"El hotel tiene ducha y bañera?",MEDIA
"Ofrecen camas adicionales?",MEDIA
"Tienen servicio de tintoreria?",MEDIA
"Ay piscina para niños?",MEDIA
"El hotel tiene secador pelo?",MEDIA
"Ofrecen desayuno vegetariano?",MEDIA
"Tienen acceso sillas ruedas?",MEDIA
"Ay zona de estar?",MEDIA
"El hotel tiene TV cable?",MEDIA
"Ofrecen servicio despertador?",MEDIA
"Tienen conexion internet cable?",MEDIA
"Ay servicio guardaequipaje?",MEDIA
"El hotel tiene ventilador techo?",MEDIA
"Ofrecen menu niños?",MEDIA
"Tienen zona BBQ?",MEDIA
"Ay servicio taxi?",MEDIA
"El hotel tiene escritorio habitacion?",MEDIA
"Ofrecen tours guiados?",MEDIA
"Tienen piscina climatizada?",MEDIA
"Ay zona picnic?",MEDIA
"El hotel tiene productos tocador?",MEDIA
"Ofrecen kit bienvenida?",MEDIA
"Tienen zona lectura?",MEDIA
"Ay servicio fax?",MEDIA
"El hotel tiene bata pantuflas?",MEDIA
"Ofrecen servicio impresion?",MEDIA
"Tienen sala juegos?",MEDIA
"Ay zona meditacion?",MEDIA
"El hotel tiene Netflix?",MEDIA
"Ofrecen actividades recreativas?",MEDIA
"Tienen zona parrilla?",MEDIA
"Ay servicio entretenimiento?",MEDIA
"El hotel tiene espejo cuerpo completo?",MEDIA
"Ofrecen clases cocina?",MEDIA
"Tienen zona infantil techada?",MEDIA
"Ay servicio animacion?",MEDIA
"El hotel tiene plancha habitacion?",MEDIA
"Ofrecen cena romantica?",MEDIA
"Tienen zona hamacas?",MEDIA
"Ay servicio catering?",MEDIA
"El hotel tiene toallas playa?",MEDIA
"Ofrecen tours bicicleta?",MEDIA
"Tienen zona camastros?",MEDIA
"Ay servicio fotografia?",MEDIA
"El hotel tiene sillas playeras?",MEDIA
"Ofrecen clases baile?",MEDIA
"Tienen zona sombrillas?",MEDIA
"Ay servicio DJ?",MEDIA
"El hotel tiene amenities premium?",MEDIA
"Ofrecen paquetes romanticos?",MEDIA
"Tienen zona kayaks?",MEDIA
"Ay servicio bartender privado?",MEDIA
"El hotel tiene paddle boards?",MEDIA
"Ofrecen excursiones?",MEDIA
"Tienen zona snorkel?",MEDIA
"Ay servicio chef privado?",MEDIA
"El hotel tiene equipos buceo?",MEDIA
"Ofrecen clases surf?",MEDIA
"Tienen zona windsurf?",MEDIA
"Ay servicio mayordomo?",MEDIA
"El hotel tiene trampolin?",MEDIA
"Ofrecen pesca deportiva?",MEDIA
"Tienen zona voleyball?",MEDIA
"Ay instructor buceo?",MEDIA
"El hotel tiene tobogan acuatico?",MEDIA
"Ofrecen paseos lancha?",MEDIA
"Tienen zona fogata?",MEDIA
"El desayuno q hora es?",MEDIA
"Aceptan tarjetas credito?",MEDIA
"Tienen parqueo gratuito?",MEDIA
"El hotel da recibos electronicos?",MEDIA
"Ofrecen early check in?",MEDIA
"Tienen servicio habitaciones?",MEDIA
"El wifi llega a las habitaciones?",MEDIA
"Aceptan dolares?",MEDIA
"Tienen zona no fumadores?",MEDIA
"El hotel tiene caja fuerte grande?",MEDIA
"Ofrecen bebidas gratis?",MEDIA
"Tienen zona business center?",MEDIA
"El hotel permite visitas?",MEDIA
"Ofrecen room upgrade?",MEDIA
"Tienen servicio doctor?",MEDIA
"El hotel tiene farmacia cerca?",MEDIA
